companyName,Total_Jobs,Avg_Applications
Zeekers Technology Solutions Private Limited,1,42.0
Zeta,1,200.0
Zigsaw,5,25.0
Zing Restaurants,1,195.0
Zomato,1,200.0
Zypp Electric,1,46.0
aeroqube inc.,1,200.0
airtel,3,141.66666666666666
apna,1,25.0
avua,1,200.0
bigbasket.com,1,200.0
controlZ,1,200.0
deployd.io,1,64.0
eClerx,1,200.0
iBCScorp,2,112.5
iThink Logistics,1,25.0
"iitjobs, Inc.",1,152.0
insightsoftware,1,61.0
livecristle,1,200.0
magicpin,1,31.0
qikfox Cybersecurity Systems,1,200.0
rankmantra,1,83.0
walletdoc,1,200.0
yPredict.ai,1,200.0
